N	F1	F2	F3	F4	F5	AUC1	AUC3	AUC5	AUC10
2175.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2174.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2173.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2172.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2171.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2170.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2169.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2168.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6148
2167.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2166.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2165.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2164.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2163.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2162.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2161.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2160.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2159.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2158.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2157.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2156.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2155.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2154.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2153.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2152.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2151.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2150.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2149.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2148.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2147.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6148
2146.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2145.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2144.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2143.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2142.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2141.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2140.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2139.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2138.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2137.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2136.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2135.0	54.0	550.0	71.0	617.0	1144.0	0.5209	0.5498	0.5726	0.6148
2134.0	54.0	71.0	550.0	617.0	558.0	0.5209	0.5498	0.5712	0.6148
2133.0	54.0	550.0	71.0	617.0	170.0	0.5209	0.5498	0.5737	0.6142
2132.0	54.0	550.0	71.0	617.0	170.0	0.5209	0.5498	0.5737	0.6142
2131.0	54.0	550.0	71.0	617.0	170.0	0.5209	0.5498	0.5737	0.6142
2130.0	54.0	550.0	71.0	617.0	170.0	0.5209	0.5498	0.5737	0.6142
2129.0	54.0	550.0	71.0	617.0	170.0	0.5209	0.5498	0.5737	0.6142
2128.0	54.0	550.0	71.0	617.0	170.0	0.5209	0.5498	0.5737	0.6142
2127.0	54.0	550.0	71.0	617.0	170.0	0.5209	0.5498	0.5737	0.6142
2126.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2125.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2124.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2123.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2122.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2121.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2120.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2119.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2118.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2117.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2116.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2115.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2114.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2113.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2112.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2111.0	54.0	71.0	550.0	617.0	280.0	0.5209	0.5498	0.5699	0.6115
2110.0	54.0	71.0	550.0	617.0	20.0	0.5209	0.5498	0.5702	0.6115
2109.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2108.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2107.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
2106.0	54.0	550.0	617.0	71.0	280.0	0.5209	0.5486	0.5699	0.6115
