cluster1	cluster2	clusterNew	distance	size
721.0	1046.0	1508.0	-6.708	54.0
1407.0	1417.0	1509.0	-5.985	17.0
722.0	1047.0	1510.0	-5.808	52.0
618.0	1139.0	1511.0	-5.555	39.0
92.0	903.0	1512.0	-5.405	78.0
755.0	1279.0	1513.0	-5.302	33.0
564.0	1495.0	1514.0	-5.076	24.0
1044.0	1512.0	1515.0	-4.876	96.0
1396.0	1434.0	1516.0	-4.857	12.0
1223.0	1455.0	1517.0	-4.821	22.0
508.0	1420.0	1518.0	-4.789	27.0
1014.0	1253.0	1519.0	-4.748	33.0
111.0	568.0	1520.0	-4.733	61.0
671.0	716.0	1521.0	-4.691	48.0
67.0	385.0	1522.0	-4.662	33.0
94.0	1508.0	1523.0	-4.514	84.0
902.0	1415.0	1524.0	-4.5	20.0
40.0	633.0	1525.0	-4.46	53.0
664.0	1369.0	1526.0	-4.438	38.0
8.0	291.0	1527.0	-4.42	35.0
754.0	1411.0	1528.0	-4.411	36.0
9.0	292.0	1529.0	-4.396	34.0
289.0	531.0	1530.0	-4.368	47.0
752.0	1222.0	1531.0	-4.336	45.0
153.0	343.0	1532.0	-4.276	69.0
896.0	995.0	1533.0	-4.224	39.0
1138.0	1221.0	1534.0	-4.221	31.0
666.0	1394.0	1535.0	-4.191	32.0
411.0	1170.0	1536.0	-4.157	26.0
1224.0	1456.0	1537.0	-4.15	18.0
330.0	1196.0	1538.0	-4.123	39.0
907.0	1379.0	1539.0	-4.121	33.0
36.0	1136.0	1540.0	-4.118	55.0
619.0	1140.0	1541.0	-4.102	44.0
328.0	1123.0	1542.0	-4.038	44.0
937.0	1089.0	1543.0	-4.028	27.0
651.0	929.0	1544.0	-3.988	41.0
55.0	714.0	1545.0	-3.984	58.0
77.0	1167.0	1546.0	-3.982	27.0
725.0	1050.0	1547.0	-3.93	38.0
327.0	1122.0	1548.0	-3.904	40.0
663.0	779.0	1549.0	-3.88	45.0
730.0	1484.0	1550.0	-3.879	20.0
672.0	717.0	1551.0	-3.874	57.0
201.0	670.0	1552.0	-3.871	63.0
110.0	1094.0	1553.0	-3.813	52.0
329.0	1502.0	1554.0	-3.812	28.0
326.0	1121.0	1555.0	-3.75	37.0
75.0	1214.0	1556.0	-3.745	51.0
1188.0	1218.0	1557.0	-3.733	28.0
412.0	1398.0	1558.0	-3.731	31.0
149.0	682.0	1559.0	-3.73	42.0
673.0	795.0	1560.0	-3.72	50.0
41.0	634.0	1561.0	-3.706	62.0
138.0	323.0	1562.0	-3.683	55.0
95.0	1510.0	1563.0	-3.669	82.0
563.0	1416.0	1564.0	-3.669	46.0
1106.0	1300.0	1565.0	-3.654	31.0
1048.0	1539.0	1566.0	-3.652	56.0
1192.0	1549.0	1567.0	-3.613	57.0
1509.0	1514.0	1568.0	-3.596	41.0
1372.0	1413.0	1569.0	-3.557	17.0
115.0	324.0	1570.0	-3.545	55.0
675.0	765.0	1571.0	-3.538	60.0
950.0	1230.0	1572.0	-3.537	25.0
147.0	1252.0	1573.0	-3.522	43.0
578.0	1464.0	1574.0	-3.506	29.0
196.0	342.0	1575.0	-3.498	66.0
774.0	1113.0	1576.0	-3.474	44.0
481.0	948.0	1577.0	-3.463	35.0
368.0	1182.0	1578.0	-3.462	34.0
1370.0	1528.0	1579.0	-3.454	42.0
655.0	1274.0	1580.0	-3.434	32.0
59.0	1180.0	1581.0	-3.431	46.0
498.0	1227.0	1582.0	-3.421	34.0
136.0	635.0	1583.0	-3.417	59.0
1104.0	1459.0	1584.0	-3.416	25.0
212.0	693.0	1585.0	-3.413	49.0
1335.0	1524.0	1586.0	-3.412	36.0
284.0	1406.0	1587.0	-3.409	39.0
13.0	1436.0	1588.0	-3.381	40.0
396.0	1322.0	1589.0	-3.375	43.0
1002.0	1515.0	1590.0	-3.34	107.0
7.0	290.0	1591.0	-3.339	42.0
68.0	356.0	1592.0	-3.332	45.0
15.0	1049.0	1593.0	-3.329	54.0
107.0	146.0	1594.0	-3.321	68.0
541.0	1516.0	1595.0	-3.315	26.0
698.0	935.0	1596.0	-3.294	26.0
319.0	1240.0	1597.0	-3.289	28.0
1364.0	1405.0	1598.0	-3.25	17.0
332.0	566.0	1599.0	-3.24	60.0
227.0	1190.0	1600.0	-3.236	41.0
751.0	928.0	1601.0	-3.232	63.0
599.0	930.0	1602.0	-3.231	38.0
38.0	844.0	1603.0	-3.228	48.0
321.0	640.0	1604.0	-3.227	29.0
150.0	197.0	1605.0	-3.219	61.0
102.0	936.0	1606.0	-3.211	34.0
575.0	1557.0	1607.0	-3.199	49.0
464.0	596.0	1608.0	-3.196	37.0
288.0	530.0	1609.0	-3.192	32.0
1350.0	1466.0	1610.0	-3.188	20.0
620.0	1141.0	1611.0	-3.184	32.0
140.0	325.0	1612.0	-3.178	52.0
1084.0	1266.0	1613.0	-3.175	26.0
720.0	1045.0	1614.0	-3.167	50.0
296.0	298.0	1615.0	-3.165	60.0
478.0	1532.0	1616.0	-3.164	91.0
683.0	1107.0	1617.0	-3.161	45.0
65.0	1604.0	1618.0	-3.156	44.0
71.0	749.0	1619.0	-3.154	65.0
953.0	1267.0	1620.0	-3.145	22.0
369.0	1183.0	1621.0	-3.095	40.0
372.0	892.0	1622.0	-3.094	42.0
200.0	1215.0	1623.0	-3.073	36.0
897.0	1526.0	1624.0	-3.04	51.0
195.0	636.0	1625.0	-3.018	56.0
944.0	1429.0	1626.0	-3.0	26.0
366.0	1302.0	1627.0	-2.99	38.0
1135.0	1564.0	1628.0	-2.988	67.0
1200.0	1503.0	1629.0	-2.987	20.0
56.0	1177.0	1630.0	-2.98	35.0
947.0	1485.0	1631.0	-2.971	23.0
626.0	1595.0	1632.0	-2.944	41.0
986.0	1296.0	1633.0	-2.944	33.0
945.0	1430.0	1634.0	-2.935	29.0
643.0	1334.0	1635.0	-2.931	39.0
993.0	1366.0	1636.0	-2.925	23.0
352.0	951.0	1637.0	-2.917	43.0
285.0	526.0	1638.0	-2.895	42.0
1195.0	1554.0	1639.0	-2.891	44.0
1147.0	1521.0	1640.0	-2.89	59.0
394.0	1151.0	1641.0	-2.882	53.0
57.0	1178.0	1642.0	-2.88	30.0
835.0	1320.0	1643.0	-2.879	27.0
753.0	1511.0	1644.0	-2.878	67.0
496.0	562.0	1645.0	-2.877	46.0
1158.0	1476.0	1646.0	-2.877	27.0
674.0	764.0	1647.0	-2.856	39.0
17.0	1133.0	1648.0	-2.813	54.0
74.0	1213.0	1649.0	-2.813	46.0
504.0	1082.0	1650.0	-2.805	45.0
750.0	1219.0	1651.0	-2.803	52.0
503.0	1164.0	1652.0	-2.798	40.0
1220.0	1601.0	1653.0	-2.792	90.0
1148.0	1551.0	1654.0	-2.788	75.0
769.0	863.0	1655.0	-2.773	34.0
949.0	1124.0	1656.0	-2.772	39.0
1280.0	1457.0	1657.0	-2.753	18.0
131.0	1611.0	1658.0	-2.751	54.0
727.0	1216.0	1659.0	-2.75	31.0
1486.0	1577.0	1660.0	-2.737	40.0
341.0	1349.0	1661.0	-2.734	57.0
649.0	927.0	1662.0	-2.727	48.0
340.0	881.0	1663.0	-2.723	67.0
66.0	641.0	1664.0	-2.714	40.0
164.0	1345.0	1665.0	-2.713	40.0
244.0	942.0	1666.0	-2.711	42.0
199.0	637.0	1667.0	-2.708	53.0
793.0	1507.0	1668.0	-2.702	31.0
1531.0	1534.0	1669.0	-2.7	76.0
933.0	1444.0	1670.0	-2.694	22.0
80.0	459.0	1671.0	-2.687	42.0
1157.0	1348.0	1672.0	-2.681	24.0
1225.0	1497.0	1673.0	-2.68	15.0
477.0	1103.0	1674.0	-2.676	31.0
116.0	1120.0	1675.0	-2.665	49.0
357.0	1062.0	1676.0	-2.66	37.0
646.0	1395.0	1677.0	-2.657	26.0
638.0	669.0	1678.0	-2.646	45.0
908.0	1007.0	1679.0	-2.643	23.0
539.0	761.0	1680.0	-2.642	33.0
665.0	1393.0	1681.0	-2.641	27.0
191.0	851.0	1682.0	-2.635	36.0
355.0	579.0	1683.0	-2.635	52.0
91.0	813.0	1684.0	-2.626	60.0
1409.0	1530.0	1685.0	-2.625	55.0
1066.0	1264.0	1686.0	-2.613	25.0
44.0	435.0	1687.0	-2.608	47.0
910.0	1596.0	1688.0	-2.607	39.0
1095.0	1520.0	1689.0	-2.607	77.0
79.0	458.0	1690.0	-2.605	36.0
1387.0	1432.0	1691.0	-2.6	14.0
118.0	1548.0	1692.0	-2.596	72.0
229.0	1567.0	1693.0	-2.587	77.0
392.0	625.0	1694.0	-2.567	60.0
476.0	1228.0	1695.0	-2.564	26.0
165.0	642.0	1696.0	-2.563	47.0
952.0	1613.0	1697.0	-2.559	41.0
354.0	384.0	1698.0	-2.556	37.0
228.0	1191.0	1699.0	-2.552	52.0
393.0	567.0	1700.0	-2.527	70.0
511.0	1482.0	1701.0	-2.524	29.0
84.0	624.0	1702.0	-2.508	45.0
81.0	770.0	1703.0	-2.502	52.0
161.0	1414.0	1704.0	-2.494	30.0
198.0	1625.0	1705.0	-2.49	86.0
1201.0	1287.0	1706.0	-2.476	28.0
1575.0	1674.0	1707.0	-2.476	97.0
0.0	580.0	1708.0	-2.465	57.0
728.0	1114.0	1709.0	-2.464	28.0
1109.0	1249.0	1710.0	-2.455	30.0
413.0	987.0	1711.0	-2.449	32.0
402.0	570.0	1712.0	-2.447	64.0
1408.0	1472.0	1713.0	-2.446	15.0
1033.0	1473.0	1714.0	-2.426	15.0
315.0	1443.0	1715.0	-2.419	36.0
69.0	109.0	1716.0	-2.412	50.0
141.0	1555.0	1717.0	-2.407	54.0
946.0	1441.0	1718.0	-2.401	33.0
623.0	1586.0	1719.0	-2.397	63.0
243.0	941.0	1720.0	-2.391	37.0
90.0	1465.0	1721.0	-2.382	41.0
154.0	344.0	1722.0	-2.375	75.0
101.0	1569.0	1723.0	-2.373	44.0
645.0	1166.0	1724.0	-2.371	23.0
1376.0	1568.0	1725.0	-2.357	52.0
180.0	542.0	1726.0	-2.349	32.0
1097.0	1342.0	1727.0	-2.344	26.0
824.0	1598.0	1728.0	-2.342	39.0
1137.0	1653.0	1729.0	-2.342	106.0
62.0	460.0	1730.0	-2.339	30.0
865.0	1161.0	1731.0	-2.335	33.0
729.0	1474.0	1732.0	-2.333	21.0
1131.0	1593.0	1733.0	-2.328	64.0
210.0	691.0	1734.0	-2.318	52.0
762.0	1093.0	1735.0	-2.313	36.0
365.0	383.0	1736.0	-2.307	24.0
676.0	766.0	1737.0	-2.304	55.0
1150.0	1298.0	1738.0	-2.3	29.0
882.0	1695.0	1739.0	-2.296	45.0
480.0	1199.0	1740.0	-2.291	45.0
1056.0	1498.0	1741.0	-2.289	14.0
475.0	1605.0	1742.0	-2.288	78.0
134.0	846.0	1743.0	-2.287	49.0
261.0	772.0	1744.0	-2.282	43.0
525.0	791.0	1745.0	-2.282	33.0
1504.0	1627.0	1746.0	-2.279	43.0
921.0	1566.0	1747.0	-2.274	70.0
994.0	1367.0	1748.0	-2.273	39.0
370.0	1229.0	1749.0	-2.264	33.0
303.0	573.0	1750.0	-2.263	52.0
1029.0	1193.0	1751.0	-2.262	26.0
1171.0	1558.0	1752.0	-2.261	42.0
295.0	320.0	1753.0	-2.26	45.0
621.0	1142.0	1754.0	-2.259	43.0
739.0	1194.0	1755.0	-2.258	32.0
88.0	1550.0	1756.0	-2.255	52.0
16.0	1132.0	1757.0	-2.252	55.0
78.0	361.0	1758.0	-2.25	35.0
502.0	536.0	1759.0	-2.25	46.0
923.0	1547.0	1760.0	-2.242	59.0
463.0	1168.0	1761.0	-2.24	25.0
629.0	1129.0	1762.0	-2.236	34.0
108.0	1584.0	1763.0	-2.234	63.0
527.0	1209.0	1764.0	-2.234	46.0
457.0	1620.0	1765.0	-2.231	34.0
82.0	1105.0	1766.0	-2.229	28.0
572.0	1145.0	1767.0	-2.224	42.0
763.0	1553.0	1768.0	-2.223	78.0
1351.0	1499.0	1769.0	-2.222	18.0
719.0	1647.0	1770.0	-2.219	54.0
386.0	1610.0	1771.0	-2.215	50.0
608.0	743.0	1772.0	-2.215	51.0
696.0	866.0	1773.0	-2.212	44.0
938.0	1090.0	1774.0	-2.204	43.0
1198.0	1623.0	1775.0	-2.197	61.0
956.0	961.0	1776.0	-2.19	19.0
314.0	322.0	1777.0	-2.182	38.0
1541.0	1579.0	1778.0	-2.181	86.0
771.0	812.0	1779.0	-2.18	51.0
509.0	1481.0	1780.0	-2.174	28.0
173.0	1392.0	1781.0	-2.165	36.0
1091.0	1694.0	1782.0	-2.16	72.0
371.0	1000.0	1783.0	-2.154	48.0
447.0	1021.0	1784.0	-2.143	29.0
648.0	1169.0	1785.0	-2.143	32.0
3.0	1054.0	1786.0	-2.14	35.0
144.0	569.0	1787.0	-2.129	47.0
1440.0	1634.0	1788.0	-2.124	39.0
467.0	823.0	1789.0	-2.12	37.0
1527.0	1603.0	1790.0	-2.113	83.0
1083.0	1616.0	1791.0	-2.102	117.0
506.0	681.0	1792.0	-2.1	22.0
1115.0	1247.0	1793.0	-2.094	22.0
723.0	1059.0	1794.0	-2.091	34.0
26.0	72.0	1795.0	-2.086	60.0
668.0	1542.0	1796.0	-2.076	78.0
1354.0	1435.0	1797.0	-2.067	11.0
1143.0	1704.0	1798.0	-2.061	42.0
1181.0	1477.0	1799.0	-2.048	28.0
592.0	1347.0	1800.0	-2.043	36.0
899.0	998.0	1801.0	-2.033	22.0
710.0	1160.0	1802.0	-2.029	27.0
93.0	1614.0	1803.0	-2.028	81.0
1016.0	1255.0	1804.0	-2.024	20.0
333.0	1560.0	1805.0	-2.015	72.0
338.0	1346.0	1806.0	-2.015	38.0
45.0	436.0	1807.0	-2.01	53.0
20.0	279.0	1808.0	-1.987	53.0
628.0	1470.0	1809.0	-1.983	28.0
639.0	1552.0	1810.0	-1.973	89.0
128.0	1463.0	1811.0	-1.968	30.0
6.0	1685.0	1812.0	-1.963	77.0
42.0	880.0	1813.0	-1.944	59.0
473.0	1519.0	1814.0	-1.944	54.0
351.0	686.0	1815.0	-1.943	36.0
982.0	1546.0	1816.0	-1.94	43.0
474.0	1501.0	1817.0	-1.938	21.0
571.0	1251.0	1818.0	-1.928	42.0
1582.0	1583.0	1819.0	-1.925	93.0
1278.0	1517.0	1820.0	-1.922	29.0
294.0	497.0	1821.0	-1.918	42.0
733.0	810.0	1822.0	-1.917	30.0
973.0	1117.0	1823.0	-1.914	38.0
76.0	859.0	1824.0	-1.911	65.0
448.0	1543.0	1825.0	-1.909	45.0
194.0	834.0	1826.0	-1.908	42.0
312.0	662.0	1827.0	-1.908	52.0
335.0	767.0	1828.0	-1.898	52.0
627.0	1397.0	1829.0	-1.893	20.0
159.0	414.0	1830.0	-1.888	39.0
699.0	869.0	1831.0	-1.887	43.0
532.0	1454.0	1832.0	-1.883	29.0
137.0	1250.0	1833.0	-1.876	60.0
484.0	512.0	1834.0	-1.874	24.0
14.0	1130.0	1835.0	-1.862	46.0
61.0	862.0	1836.0	-1.862	40.0
122.0	1355.0	1837.0	-1.857	37.0
685.0	1727.0	1838.0	-1.856	42.0
211.0	692.0	1839.0	-1.853	67.0
574.0	1187.0	1840.0	-1.839	37.0
53.0	207.0	1841.0	-1.832	62.0
283.0	1312.0	1842.0	-1.83	33.0
472.0	555.0	1843.0	-1.821	50.0
313.0	1689.0	1844.0	-1.817	107.0
777.0	1116.0	1845.0	-1.814	31.0
275.0	446.0	1846.0	-1.813	46.0
1275.0	1453.0	1847.0	-1.812	18.0
347.0	1307.0	1848.0	-1.808	65.0
318.0	1144.0	1849.0	-1.804	34.0
768.0	1655.0	1850.0	-1.804	55.0
39.0	677.0	1851.0	-1.801	59.0
607.0	742.0	1852.0	-1.8	46.0
190.0	1301.0	1853.0	-1.797	55.0
145.0	1712.0	1854.0	-1.795	85.0
1265.0	1678.0	1855.0	-1.78	56.0
300.0	1621.0	1856.0	-1.776	77.0
991.0	1622.0	1857.0	-1.775	58.0
433.0	535.0	1858.0	-1.774	37.0
1338.0	1640.0	1859.0	-1.765	67.0
1017.0	1352.0	1860.0	-1.753	18.0
31.0	1271.0	1861.0	-1.752	31.0
297.0	1236.0	1862.0	-1.748	46.0
381.0	860.0	1863.0	-1.744	29.0
63.0	461.0	1864.0	-1.742	32.0
926.0	1702.0	1865.0	-1.741	72.0
598.0	1323.0	1866.0	-1.74	42.0
510.0	1505.0	1867.0	-1.733	20.0
609.0	1360.0	1868.0	-1.733	41.0
999.0	1333.0	1869.0	-1.727	28.0
35.0	1012.0	1870.0	-1.722	53.0
632.0	1760.0	1871.0	-1.714	82.0
1424.0	1447.0	1872.0	-1.714	15.0
1272.0	1645.0	1873.0	-1.713	56.0
711.0	1692.0	1874.0	-1.71	94.0
894.0	1636.0	1875.0	-1.692	36.0
1162.0	1197.0	1876.0	-1.691	33.0
58.0	1179.0	1877.0	-1.688	45.0
73.0	1212.0	1878.0	-1.676	53.0
1096.0	1571.0	1879.0	-1.675	78.0
