ORF	agg	substr
YKL154W	2714.302	-
YDL192W	1564.2889999999998	-
YMR138W	1135.942	+
YOR094W	1458.8609999999999	-
YBR164C	1812.685	+
YHR022C	1622.069	-
YOR185C	689.149	+
YLR293C	688.95	+
YFL005W	1695.1240000000003	+
YCR027C	1227.03	+
YFL038C	1045.417	+
YBR264C	1472.334	+
YKR014C	1572.601	+
YNL093W	1605.946	-
YNL090W	1914.768	+
YOR089C	1375.44	+
