ORF	substrate	sf	fam	buriedCD	exposedCD
YDL021W	-	c.60.1	c.60.1.1	0.8035714285714286	0.7062937062937062
YKL152C	-	c.60.1	c.60.1.1	0.6188811188811189	0.5336538461538461
YKR043C	+	c.60.1	c.60.1.1	0.7931034482758621	0.5793650793650794
YOL056W	-	c.60.1	c.60.1.1	0.7094594594594594	0.4838709677419355
YDR051C	+	c.60.1	c.60.1.1	0.45987654320987653	0.5377906976744186
YPR085C	-	b.69.4	b.69.4.1	0.7784090909090909	0.6731843575418994
YNL035C	+	b.69.4	b.69.4.1	0.7198275862068966	0.6305732484076433
YMR146C	+	b.69.4	b.69.4.1	0.6859296482412061	0.5844594594594594
YLR208W	+	b.69.4	b.69.4.1	0.5987261146496815	0.5928571428571429
YDR142C	-	b.69.4	b.69.4.1	0.4342105263157895	0.6394557823129252
YDR267C	+	b.69.4	b.69.4.1	0.457286432160804	0.48854961832061067
YMR116C	+	b.69.4	b.69.4.1	0.358974358974359	0.33064516129032256
YGL100W	+	b.69.4	b.69.4.1	0.8111111111111111	0.5502958579881657
YBR175W	+	b.69.4	b.69.4.1	0.6702127659574468	0.5669291338582677
YNL006W	+	b.69.4	b.69.4.1	0.430635838150289	0.39615384615384613
YER107C	+	b.69.4	b.69.4.1	0.4121951219512195	0.484375
YKL018W	+	b.69.4	b.69.4.1	0.8377659574468085	0.7127659574468085
YBR246W	+	b.69.4	b.69.4.1	0.7278481012658228	0.67
YBR234C	+	b.69.4	b.69.4.1	0.4375	0.48295454545454547
YER066W	-	b.69.4	b.69.4.1	0.4266666666666667	0.6272727272727273
YCL018W	-	c.77.1	c.77.1.1	0.5710900473933649	0.5588235294117647
YDL066W	+	c.77.1	c.77.1.1	0.8908296943231441	0.592964824120603
YLR174W	+	c.77.1	c.77.1.1	0.7111111111111111	0.5561497326203209
YOR136W	+	c.77.1	c.77.1.1	0.4020618556701031	0.37714285714285717
YNL009W	-	c.77.1	c.77.1.1	1.065909090909091	0.6575
YLR446W	-	c.45.1	c.45.1.2	0.841025641025641	0.7184873949579832
YNL099C	-	c.45.1	c.45.1.1	0.7075471698113207	0.3787878787878788
YDR067C	+	c.45.1	c.45.1.2	0.6875	0.546875
YNL056W	+	c.45.1	c.45.1.1	0.7912087912087912	0.7641509433962265
YDL230W	+	c.45.1	c.45.1.2	0.6472868217054264	0.46359223300970875
YJR155W	-	c.1.7	c.1.7.1	0.4090909090909091	0.43283582089552236
YOL165C	-	c.1.7	c.1.7.1	0.2894736842105263	0.4666666666666667
YDL243C	-	c.1.7	c.1.7.1	0.49719101123595505	0.5463576158940397
YOR120W	-	c.1.7	c.1.7.1	0.5653409090909091	0.44485294117647056
YFL056C	-	c.1.7	c.1.7.1	0.75	0.6339285714285714
YHR104W	+	c.1.7	c.1.7.1	0.805699481865285	0.667910447761194
YDR368W	+	c.1.7	c.1.7.1	0.7341040462427746	0.48201438848920863
YFL057C	-	c.1.7	c.1.7.1	0.5092592592592593	0.6683673469387755
