ORF	actual	pred
YDL021W	0	2
YKL152C	0	1
YKR043C	1	0
YOL056W	0	1
YDR051C	1	2
YPR085C	0	2
YNL035C	1	0
YMR146C	1	0
YLR208W	1	0
YDR142C	0	2
YDR267C	1	0
YMR116C	1	1
YGL100W	1	1
YBR175W	1	0
YNL006W	1	0
YER107C	1	0
YKL018W	1	1
YBR246W	1	1
YBR234C	1	3
YER066W	0	2
YCL018W	0	2
YDL066W	1	4
YLR174W	1	2
YOR136W	1	2
YNL009W	0	4
YLR446W	0	2
YNL099C	0	1
YDR067C	1	0
YIL113W	0	1
YNL056W	1	1
YDL230W	1	0
YJR155W	0	0
YOL165C	0	0
YDL243C	0	0
YOR120W	0	2
YFL056C	0	2
YHR104W	1	3
YDR368W	1	3
YFL057C	0	0
YNL090W	1	2
YMR138W	1	0
YKR059W	1	5
YOR094W	0	1
YBR164C	1	1
YKR014C	1	1
YNL093W	0	3
YDL084W	1	1
YOR185C	1	2
YFL005W	1	3
YDR021W	1	1
YHR022C	0	0
YJR057W	0	2
YHR065C	0	2
YFL038C	1	3
YDR248C	0	2
YFL066C	1	4
YCR027C	1	2
YBR264C	1	1
YOR089C	1	2
YGR205W	0	1
YLR293C	1	2
YGL091C	0	2
YOR046C	1	3
YIL003W	1	4
YKL154W	0	1
YBR227C	0	3
YNL202W	0	2
YKL107W	0	1
YDL114W	0	3
YLR426W	1	1
YOR246C	1	4
YKL055C	0	0
YPL033C	0	0
YBR159W	0	3
YMR090W	0	2
YNL181W	1	1
YKL071W	0	2
YER004W	1	3
YIR036C	1	4
YIL124W	1	3
YGR019W	1	3
YNR058W	0	0
YLR438W	0	4
YLR027C	1	1
YBR263W	1	3
YEL066W	1	0
YPR193C	0	2
YPR131C	1	0
YDR071C	1	2
YFL017C	1	0
YIR042C	0	1
YDR183W	0	1
YKL026C	0	1
YDR453C	0	2
YCL035C	0	1
YCR083W	1	1
YIL010W	0	2
YLR364W	0	2
YHR057C	1	2
YDR304C	0	1
YML078W	0	2
YDR155C	1	2
YOR026W	1	2
YLR043C	1	3
YDL192W	0	1
YGL004C	1	2
